"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Liechtenstein","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","San Marino","Malta","Albania","Croatia","Yugoslavia","Bosnia and Herzegovina","Slovenia","Greece","Cyprus","Bulgaria","Moldova","Romania","Russia","Estonia","Latvia","Lithuania","Ukraine","Belarus","Armenia","Georgia","Azerbaijan","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Namibia","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","Turkmenistan","Tajikistan","Kyrgyzstan","Uzbekistan","Kazakhstan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Brunei","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Fiji","Marshall Islands","Federated States of Micronesia","Samoa"
"Austria",788.6115,1.9193,5.5362,0.2176,0.1867,1.949,0.4427,2.8614,0.5856,0.5606,0.0112,0.4127,0.0129,0.2191,0.0805,34.9966,0.7665,4.5354,11.9455,6.5479,3.384,21.666,10.6977,24.6787,11.4082,2.9769,0.1601,16.8445,7.8451,100.0229,0.8447,0.0693,2.9618,5.5965,11.1463,197.2311,167.9889,229.1064,691.8908,43.9187,331.6157,0,401.2241,68.856,106.2023,5270.457,228.1586,0,312.6195,283.5216,554.9463,0,3.2714,3.2846,0,455.247,0,0,118.2071,42.9234,77.9867,2.2949,108.8118,308.3913,1.1211,0.3773,19.7224,4.6568,52.3387,1.9856,0.1511,8.0101,119.4892,307.5113,144.2057,19.3986,7.631,0,0.0224,0.0311,0,2.8466,1.3398,2.2245,0.034,0.6298,0.2331,6.6638,0.9136,0.4616,0.1306,0.0845,7.4236,1.6008,8.2841,209.4628,0.6255,0.1933,0.887,0.2151,3.764,1.4051,8.5401,6.8361,0.0017,0.0524,0.5969,1.1799,5.9239,5.2447,0.6151,2.463,6.1204,2.0252,66.2506,8.2663,0.3414,1.1916,0.8104,8.699,0,1.5473,0.019,4.0193,68.9019,11.8924,74.1994,6.8203,434.6475,69.7476,0,62.2849,5.9448,25.3542,32.8795,5.1484,86.7285,67.1455,34.3872,7.8514,8.022,73.3002,10.2403,0.8787,0.1506,2.7283,1,1.2904,0.6096,225.295,19.3022,389.6203,18.4061,95.9216,1807.2774,27.9877,0.3974,7.2805,2.6289,3.1615,13.9467,2.4267,1.3402,20.8672,0.41,0.1754,28.4851,18.7159,56.6597,2.2693,16.5695,144.387,146.7855,1.2407,22.1831,0.0004,0.6097,0.0345,0,0,0.2777
"Hungary",49.5,0.9346,0,8.93,0,0,0,0.1521,0.231,0,0,0.052,0,0,0,4.6281,0.0002,0.0229,0.313,2.694,0,3.653,0.077,13.272,0.649,0,0.0084,3.3917,9.8204,89.5142,0.0443,0.3279,0.5,1.689,0.28,113.7344,9.6927,139.7809,23.9215,1.5184,81.895,0,194.9602,56.5679,1.5377,362.5491,35.801,312.6195,0,250.7782,267.5137,0,4.0557,11.71,0,276.58,0,0,39.1675,4.0881,10.547,1.4,116.9841,417,0,3.5455,0,0,8.011,0,0,1.6528,37.297,60.3762,8.1473,11.753,0.744,0,0,0,0,0,0,0.2168,0.0076,0,0.1511,9.2364,0,0.3254,0,0,1.374,0,0.4,5.5,0,0.0028,0,0.1511,0,0,0.7794,0,0,0,0,9.1144,0.1927,2.1,0,0.1281,0.0238,0,0,0,0,0,0,0.4879,0,0.257,0,6.697,6.501,11.4539,8.05,0,120,71.217,0,40.166,30.2436,32.69,14.967,4.3,19.5228,6.2197,11.6,0,0,21,1.4464,0,0,0,3.7,0,0,21.577,1.9,0,2.2,25.2,138.0971,3.0098,0,24.4873,4.4945,0,3.978,0,0,15.4508,0,0,5.558,0.8709,24.1069,0,0.006,7.7964,17.6245,0,0.386,9,9,0.036,0,0,9
"Czechoslovakia",351.1066,7.0442,0.0286,3.5167,0.2365,0.011,0.3157,1.6188,0.1062,0.8151,0.0022,0.026,0.144,0.033,0.0506,19.9562,0.0015,0.822,11.0881,1.4848,4.4787,12.0512,1.8192,21.9011,1.2023,0.0242,0.0659,13.6941,10.8218,65.8086,0.5472,2.0988,10.1788,70.2268,1.8237,5.2684,2.4383,109.175,28.9992,1.8408,103.1884,0,157.9292,111.4424,21.391,1782.1137,13.1549,283.5216,250.7782,0,115.1012,0,8.4739,3.41,0,264.0033,0,0,79.3664,15.5857,54.0236,0.9524,60.1372,136.5687,0.0017,4.0291,6.5926,244.8843,12.2378,0.1073,0.711,1.9037,11.087,13.0716,14.4019,27.6566,4.1152,0,0.242,0.0088,0.0176,0.3509,0.8965,2.8455,4.4908,0.9878,0.5619,24.2084,1.1209,0.6318,0.1375,0.3498,0.9773,0.7821,0.6441,25.5629,0.0264,0.008,0.0539,0.5515,0.3047,3.7136,1.9207,1.6533,0.865,1.4847,0.2882,0.8151,0.5561,3.6509,0.79,0.1091,6.5159,0.0319,3.38,0.084,0.0319,0.3575,0.2314,0.3145,0.154,0.2995,0.0093,25.0106,34.1256,36.8597,47.872,7.2028,164.3663,108.1794,0.0308,38.92,51.6899,83.2964,18.2009,11.8455,47.9696,3.9864,10.8923,0.9768,1.6,15.7846,0.9173,0.4048,14.2408,5.0465,0.7711,26.1956,20.3236,110.8516,1.1518,65.6582,10.1046,2.156,95.6349,15.9631,0.033,37.5863,17.0662,0.1595,1.9773,0.0179,1.3431,102.8403,0.3707,0.0242,1.0433,14.3745,23.5645,0.0341,0.8786,26.2278,4.5938,0.0506,1.4021,0.0374,0.1309,0.4875,0,0,0
"Italy",2951.1859,118.9956,27.3382,61.2624,2.1008,17.4597,7.2785,5.8465,1.1336,1.6172,1.0915,8.6144,14.9116,2.8917,0.2114,910.5586,2.8948,4.9237,23.6179,11.0379,4.2075,110.6044,108.7184,61.2072,562.9911,23.0817,2.0966,14.1866,150.6649,939.4193,26.2132,27.0193,198.9719,148.9583,14.1528,1170.647,813.4592,6300.9132,3276.9795,208.0106,1796.48,0,1881.3164,3477.0254,2407.7387,3123.07,162.6173,554.9463,267.5137,115.1012,0,0,279.9102,131.1926,0,51.5098,0,0,1653.163,305.0358,39.8547,4.7,143.5855,100.6,0.3776,8.9653,2.5036,159.0977,8.317,0.888,25.551,14.1474,440.8031,510.2859,42.9036,563.5875,37.4748,0,1.2191,3.6583,0.1028,22.4666,14.256,2.6448,6.5739,21.8448,10.6919,194.4131,3.6621,8.0265,5.8776,20.7381,88.9382,6.5248,182.7798,187.4346,7.1828,0.5272,0.2619,128.7304,51.0423,4.7265,4.3439,58.5674,4.5907,2.4957,9.0983,28.3676,31.1261,13.8184,31.0412,40.2014,37.1982,0.5519,1917.4975,22.4652,5.8767,5.2388,3.4623,6.354,0.5368,16.6807,12.7723,85.7349,1223.893,530.1032,2696.465,47.1792,1222.3429,948.7112,0.7825,628.3456,148.3665,551.9991,153.4424,844.8198,458.4015,107.8258,350.5419,72.8407,118.464,666.9287,55.7137,0.9086,28.839,3.9674,1.1,26.0117,2.3201,1037.7104,5.3541,422.2279,11.3687,367.9572,240.2793,247.9322,1.4658,139.286,208.628,6.8208,26.9838,2.1136,3.019,12.6168,0.6875,0.3731,7.4962,32.7342,721.7589,133.2029,57.1195,131.2741,170.2738,1.988,69.3209,22.4587,0.1951,1.5249,0,0,1.1499
"San Marino",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",17.8947,0.0075,0.1484,0,0.0005,0.0089,0.0536,0.0028,0.0055,0,0.0004,0.0007,0,0,0,0.3634,0,0.1563,0.0121,0,0,0.2448,0.1811,0.1329,1.8061,0,0,1.8997,0.0366,5.4138,0.052,0.0141,0.9107,3.2849,0.1428,211.2302,19.7255,59.9886,8.3218,0.5282,11.83,0,9.1601,25.381,8.302,10.0567,2.158,3.2714,4.0557,8.4739,279.9102,0,0,0.6662,0,7.0631,0,0,13.4536,2.0134,0.3471,0.0166,0.2994,31.8475,0,0.0042,0.0335,7.8799,0,0,0.0136,0,4.7579,1.172,0.0105,11.085,0.0026,0,0,0.0199,9,0,0.0002,0.0704,0.0002,0.0001,0.0076,2.0407,0.0003,0.1887,0.0539,0.0351,0.0912,0.0181,0.122,10.3022,0,0.0027,0,0.0043,0.4856,0.0008,0.6693,0.0015,0.0344,0.2231,0,1.209,4.0295,0.7057,0.0002,0.239,0.0027,0.0078,0.221,0.0003,0.0014,0.0001,1.1389,0.6024,0,0.0682,0,0.0195,0.1187,1.1656,20.9524,0.3132,0.1933,12.0685,0,1.3183,0.2502,0.4441,0.2366,0.7797,1.2701,0.2092,1.2836,2.6609,0.7807,7.1741,1.492,0.0276,0.0006,0.1398,0.034,0,0.0034,22.9884,0,18.8999,0,27.0239,92.4703,7.8377,0,1.3995,0.008,0.0194,0.6008,0,0,7.2056,0,0,0.0758,2.3417,16.389,0.0001,5.2659,1.7654,1.6387,0.0002,2.6836,0,0,0,0,0,0.0003
"Albania",34.12,0.1716,0,0,0,9,0,0.7606,0,0,0,0,9,0,0,0,0,9.028,0.001,0,0,0,9,0.0627,0,0,0.0017,0,0,0,12.7054,0,0.315,0.1771,9,4.7751,0.0887,4.9645,47.8337,3.0363,109.6885,0,9.0023,4.6982,0.1079,19.1622,0.2805,3.2846,11.71,3.41,131.1926,0,0.6662,0,0,15.6893,0,0,26.8341,0.1577,0,0,2.2568,0.5,0,0.0367,0,0,9,0,0,27.9142,1.0565,0.2675,0.2149,0.7044,0,0,0,0,0,0,0,0,9,0,0.0038,0,0,9,9,9,0.0011,9,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0.1485,0,2.7529,9,0,9,22,0,9.929,0,0,0.208,9,1.4716,9,0,9,9,9,9,0,0,0,0,0,0,1.5459,9,0.0974,0,0,4.8242,0.023,0,2.1915,1.5891,0,0,9,0,0.0529,0,9,0.5242,0.9741,0,9,0,0.0174,0.0054,0,0.001,0,0,0,0,0,9
"Croatia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yugoslavia",151.79,30.0942,0.0031,15.3902,0.0194,0.3785,0.0034,0.0815,0.038,0.1249,0.0387,0.0106,0,0.5856,0,5.4065,0,0.016,0,0,0,0.485,0.1282,0.6301,0.3256,0.7555,0.0773,0.0097,16.2877,24.3969,0.0671,0.011,26.3146,7.2981,0,16.2913,10.3692,151.1485,22.4358,1.4241,67.7445,0,92.2567,30.3927,3.9573,137.5391,21.6634,455.247,276.58,264.0033,51.5098,0,7.0631,15.6893,0,0,0,0,17.5791,2.3768,130.9535,1.1,60.6249,189.3,0,3.4618,0,0,10.501,0,0,2.3256,21.2632,82.7666,50.2303,45.9778,0.8608,0,0,0.8276,0.6756,0.5889,1.0127,0.4487,0.034,0.611,0.0416,0.6932,10.3682,0.0343,303.1937,0.551,2.6044,1.4498,0,4.6738,1.9772,0.0118,0.0373,0.1285,7.5486,0.0151,1.6549,5.7373,0.3114,0.13,7.4749,0.5588,0.364,71.6026,0,0.0182,3.1983,0.9391,2.1384,0.4533,0,14.1133,4.9847,0.1433,0.0145,0,0,9.0821,22.3134,22.5673,322.6135,13.2704,149.06,24.4,0,86.9015,20.3522,18.5824,1.0207,22.01,36.5516,0.0374,6.3,1.1773,11.6845,32.2878,1.6377,0.6687,0,0,0.7,0,0,56.5047,1.7493,0.6802,10.4893,32.04,0.8455,31.897,9,5.1193,1.3379,58.2485,1.4465,0,0.0046,25.2076,0.1122,0.2142,0.2266,0.3734,19.854,0,1.3875,7.6905,10.1488,0.1892,1.4307,0.0024,0.0044,0.005,0,0,0
"Bosnia and Herzegovina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greece",451.9871,3.2763,4.1609,0.0207,0.0959,0.1356,0.3976,0.0527,0.0325,0.1629,0,0.066,3.996,1.562,9.1397,3.9598,0.0424,0.8947,0.562,0.014,24.4717,4.6207,25.6277,2.1299,1.3693,0.003,0,8.7937,0.1036,110.633,0.0146,1.5516,11.4688,47.2736,2.2005,623.314,121.6481,1365.7398,617.5689,39.201,1159.9158,0,321.3104,267.0284,58.435,2310.795,1.3512,118.2071,39.1675,79.3664,1653.163,0,13.4536,26.8341,0,17.5791,0,0,0,181.9446,86.2402,0.3,11.054,204.4,5.7708,4.0341,23.2405,2.423,1.367,0,0.056,3.6558,70.3938,159.2555,7.3035,247.3117,14.2699,0,0.04,0,0,0.1418,0.0737,2.8485,0.1209,4.2426,0.0227,47.6519,6.158,0.0451,27.5611,0.2189,3.4897,3.3679,0.4428,34.5986,12.963,0.0644,0.2458,4.7629,0.5812,2.098,3.0022,0.2361,1.0292,0.709,0.0561,0.0995,1.5961,1.3757,0,0.0442,15.2569,0.8289,55.1494,3.1319,0.052,0.621,9.103,0.8259,0,9.9617,0.142,4.6214,4.3383,34.7213,426.8324,5.2044,602.8785,54.7513,77.8326,208.3443,9.0149,89.8718,1.583,26.1597,203.74,14.252,8.2086,4.0355,4.763,24.2232,1.0795,0.0288,0.0198,9,0,0,0.0506,223.6327,0.049,153.2521,0.4815,254.8656,1378.3635,26.5282,0,10.3137,2.1732,0.0326,3.6803,0.0003,0.0523,28.0558,0,0.167,1.3943,42.8793,51.2035,0.008,5.5937,30.0798,25.8184,0.0163,36.3603,0.3355,0.3717,0.226,0,0,0
"Cyprus",266.4391,17.3414,0.0423,0.5826,0.0636,0.0289,0.155,0.0512,0.0369,0.0334,0,0.0086,0,0,0,0.7652,0,0.1714,0.2402,0.0044,0.0356,0.0222,0.1793,0.3676,0.1646,0,0.1003,0.1045,0.3757,10.9889,0.0479,0.0089,1.1558,5.0526,0.8675,113.1435,11.4036,62.3643,27.5135,1.7465,230.6675,0,57.9774,48.0237,8.6868,203.8201,14.8694,42.9234,4.0881,15.5857,305.0358,0,2.0134,0.1577,0,2.3768,0,0,181.9446,0,0.3715,0,7.6691,82.7226,0,0,0,0,0.011,0,0,73.1721,9.3212,35.441,0.0776,31.9766,0.0939,0,0,0.044,0,0.069,0.0024,0.7787,0,0.0445,0.3753,2.307,0.0073,0.6843,0.0489,0.0587,0.743,0,0.0022,3.1198,0.5205,0.0133,0.101,0.0133,0.2227,0.6171,0.4076,1.2123,0,0.109,0.1715,0.4429,0.1045,0.2006,1.7907,0.1038,0.4012,0.0994,0.1824,0.0779,0,0.02,0.04,0.0156,0,0.0578,0.0178,0.042,20.4757,0.1847,12.7116,3.5202,1.3369,0.5005,2.8942,7.9109,49.4251,122.7382,5.2615,4.3339,11.7094,3.4778,10.257,3.3794,3.786,15.5375,1.7782,0.0556,0,0,0.1,0,0,40.526,0,61.1858,2.1613,53.544,346.7372,8.4626,0,9.3217,0.129,0.1635,1.0579,0.001,0.0111,14.8484,0.0171,0.0325,0.0044,14.1217,6.9199,0,1.6082,12.953,3.7874,0.0165,4.2153,0,0,0,0,0,9
"Bulgaria",41.463,7.0153,0,23.152,0,0,0,0.0351,0,0,0,0.0303,9,9,0,2.0219,0,0.039,0,11.979,2.0282,0,0.0162,1.506,1.1913,2.0053,0.0022,0.2794,13.9814,10.2997,9.8683,0.0231,0.84,16.455,0.026,8.6636,3.2963,26.1701,53.9269,3.4231,17.4316,0,84.3111,19.6996,0.9213,169.9048,6.7102,77.9867,10.547,54.0236,39.8547,0,0.3471,0,0,130.9535,0,0,86.2402,0.3715,0,2.296,27.3791,425.573,0,0.081,9,226.832,2.921,0,0,2.8505,5.5246,17.921,1.3678,0.2898,0.181,0,9,0,0,0,0,0.0006,0.0038,0,0.0038,0.1711,0,0.0017,0,0.1059,0.368,0.0033,0,13.9451,0.0133,0,9,0.2833,0.3153,0,0.0189,0.7506,0.001,0,0,0,0,0,0,0.9661,0.2931,0,4.2825,9,9,9,9,0.4787,9,0,0.1562,4.691,47.983,33.0201,14.5069,5.5793,95.43,148.219,0,73.495,84.6392,5.133,37.666,3.942,6.076,0.2538,1.3,0,0,0,0.0851,0,0,0,0.8,0,0,13.865,6.8,6.9781,0,11.148,39.8867,32.4475,9,11.5285,4.6678,0,2.012,9.275,0,27.3944,0,9,1.153,8.8265,3.9341,0,11.648,13.9665,2.9771,0.0084,0.127,0,0,0.002,0,0,9
"Moldova",36.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.0155,0,0,0,9,0.5,0,3.7,1.1284,0.0716,1.4439,0,5.6,0.2,0,10.3,1.9793,2.2949,1.4,0.9524,4.7,0,0.0166,0,0,1.1,0,0,0.3,0,2.296,0,39.8,101.4,0.6,0.531,0.7,12.5,20.584,0.3,0.5,1.9378,0.1958,0.0909,0,4.9085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,12.8,0,0.15,0.1,0.2,0.1,1,18.1551,0,0,0,0,0.1,9,0.1,0.2,0.1,0.1,3.6,3.1,10.719,0,0,0,0,0.2,2.3,0,0.1,9,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
"Romania",136.2661,7.3673,1.65,0.0188,0,0,0.11,0.0299,0.026,0,0,0.0723,0,0,0,0.6465,0.0585,1.3964,0.61,0.7,0,0.749,0.5557,3.807,2.379,0,0,0.1856,3.6731,31.3382,0.1528,0.3872,4.1075,53.5385,2.189,85.0512,5.856,93.3841,26.4792,1.6808,97.5968,0,119.4594,42.6341,1.1029,11.6736,33.7837,108.8118,116.9841,60.1372,143.5855,0,0.2994,2.2568,0,60.6249,0,0,11.054,7.6691,27.3791,39.8,0,174.8,0,0.2804,9.2,114.95,9.705,0,9.8,0.0582,0.7818,15.4627,0.9925,13.0215,0.3316,0,0,0.11,0,1.76,0,0.0882,0.3287,9.68,0.0189,4.1833,0.3733,5.4215,0.11,0.22,7.9052,0,0.8064,11.7943,0.22,0.0207,0,0.0264,0.1657,0.11,2.5659,2.53,0,0.04,0,1.1,0.1927,4.7268,0,1.0145,0.5246,0,2.7,0,0,9,0,4.7163,0,0,0,4.3726,2.5734,0.9753,71.0703,15.4438,346.4646,72.9503,0,106.1191,119.2509,94.8373,38.9096,12.116,75.5887,13.7998,5.1014,0.33,0.2,4.1971,0.0273,1.1,12,9.1,0,11,14.4,136.2687,0.1197,9.0041,1.0861,32.4,0.0734,52.0463,0,8.2911,3.1542,0,30.3409,0,1.98,15.0511,0,0,6.744,8.1837,6.5724,0,13.3977,3.9527,25.9926,0,0.6028,0,0,0.121,0,0,0
"Russia",2373.6,899.5,0,441.2,0,0,32.3,0,0.0573,0,0,9,0,9.1,0,15,9.1,4.608,0.49,9.9,1.7,3.036,152.1,1.131,22.1,1.5,0,13.9,6.4,52.4,2.0437,0,17.9,49.8,3.299,1724.3,84.4,1909.6,549.1425,34.8575,205.6771,0,268.0012,106,58.302,852,62.9,308.3913,417,136.5687,100.6,0,31.8475,0.5,0,189.3,0,0,204.4,82.7226,425.573,101.4,174.8,0,0,23.3295,0,0,417.204,0,0,99.8108,277.1533,195.1931,43.9,91.1592,21.8798,0,9.1,0,0,0.2,0.3,7.643,9.1,5.8,0.1322,21.0092,50.8,0.5,0.2,7.6,6.23,9.5,1.6,57.6,0,9,0,0,10.8,0.4,0.077,0.5,0.1,9.1,9.4,0.3,0.9,24.9,5.6,1.4389,3.1,9,0.2,9.2,0,9.2,0,17.2,0,9.2,9,101.593,285.372,75.4485,100.4,1.5,210.2,658.116,0.1,208.645,143,22.2,36.487,70.3,32.1558,5.6,1.1,0,11.6,93.4,0.9732,129.9,0,0,77.7,0,0,1842.7449,34.5,43.6,161.9,678.7,721.8785,622.1658,0,0.6364,4.6861,9.3,16.697,9,0.5,46.5,12.9,3.4,12.039,16,365,9.1,28.1,7,44.5,0.2,0.823,9.1,9.1,9.032,0,0,0
"Estonia",51.8045,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,8.005,0.3972,0.6274,0,0,9.5255,0,1.3623,0.9124,2.2096,46.471,0,1.1211,0,0.0017,0.3776,0,0,0,0,0,0,0,5.7708,0,0,0.6,0,0,0,0,0,0,0.015,0,0,1.8331,110.4591,6.4254,5.8274,6.4789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1.5872,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,9.806,0,0.2629,0,0,3.7779,0,0,0.0441,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0.1082,0,0,9,0,0,0,0,0
"Latvia",49.05,0,0,0.1213,9,0,0,0,0,0.926,0,9,0,0,0,0,0,9,0,0,0,0,0.3133,0,0,9,9,0.0045,0,0.1694,0,0,0,9,0.0421,25.8872,4.6753,9.0571,37.2082,2.3618,49.6552,0,1.751,1.2815,3.514,42.4556,2.805,0.3773,3.5455,4.0291,8.9653,0,0.0042,0.0367,0,3.4618,0,0,4.0341,0,0.081,0.531,0.2804,23.3295,0,0,2.6905,34.9592,29.6361,2.0338,1.5902,4.583,32.9194,16.5475,8.9689,1.4367,0,0,0,0,0,0,9,0,9,0,0,0.1091,9,0,9,0,9,0,9,0.8372,0,0,0,0,9,0,9,0,9,0,0,0,9,0,9,0,0,0,0,0,0,9,0,9,9,0,0,0,0,0.2745,0,9,0,4.3568,0,0,0,0.2215,0.4389,0.77,7.3668,0,0,9,0,0,0,0.341,0.1957,0.8391,1.2474,6.4982,5.0158,1.2494,0,5.5773,0.3662,0,14.124,2.7226,0,0.0701,0.1538,0,0,0,9,0.4947,9,0,0,0,0.6126,0,0.0407,0.0045,0.0446,0,0,9,0,0,0,0,0
"Lithuania",43.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9.1056,9,0,0,0,9,88.6628,0.184,0.2574,0,0,1.342,0,3.4797,3.8757,2.3216,25.5089,14.5277,19.7224,0,6.5926,2.5036,0,0.0335,0,0,0,0,0,23.2405,0,9,0.7,9.2,0,0,2.6905,0,0,0.007,0,0,3.9647,19.4995,27.8384,3.1664,17.5515,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0.5196,0,0,0,0,0.2208,0,0,0,0,0,0,0,0,0,0,0,0,3.0329,0,0.0882,0,0,6.6996,0,0,0.3206,9.1538,0,0,0,0,0,0,0,0,0,0,0,9,0,1.0614,0,9,0,0,0,0,0,0
"Ukraine",226.5,0,0,0,0,0,0,0,9.001,0,0,0,0,0,0,9,0,0,0,0,9,9,0,0.004,0,0,0,0,0,3.4441,9,0,0,0,0,0,0.2295,13.0915,0,0,130.5403,0,11.4374,7.2397,3.7786,391.513,52.1323,4.6568,0,244.8843,159.0977,0,7.8799,0,0,0,0,0,2.423,0,226.832,12.5,114.95,0,0,34.9592,0,0,29.625,0,0,82.2858,29.676,11.5132,13.6655,2.8668,9,0,0,0,0,0,0,0,0.0151,0,0,0,0,0,0,9,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2854,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,7.0868,0,0,8.7391,4.94,9,9,0,0,0,0,0,0,0,0,13.2,0,0,35.924,0,20.7124,0,1.92,10.5475,0,0,1.1347,0,0,0,0,0,0,0,0,0.637,0,0,0,0.0144,0,0.1568,0,0.1014,9,0,9.326,0,0,0
