"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Monaco","Liechtenstein","Switzerland","Spain","Andorra","Portugal","Germany","Poland","Austria","Hungary","Czech Republic","Slovakia","Italy","San Marino","Malta","Albania","Macedonia","Croatia","Yugoslavia","Bosnia and Herzegovina","Slovenia","Greece","Cyprus","Bulgaria","Moldova","Romania","Russia","Estonia","Latvia","Lithuania","Ukraine","Belarus","Armenia","Georgia","Azerbaijan","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Eritrea","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Namibia","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","Turkmenistan","Tajikistan","Kyrgyzstan","Uzbekistan","Kazakhstan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Brunei","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Kiribati","Fiji","Tonga","Nauru","Marshall Islands","Palau","Federated States of Micronesia","Samoa"
"Saudi Arabia",3425.2109,55.7545,16.6241,0.1977,0,0.1905,0.2932,2.9029,0.1318,0,0,0.0059,0.0004,0,9.0032,0.1743,0.001,41.5899,0.1418,18.6803,0,0.7826,1.4572,6.8138,1.3581,0.2386,0,25.8787,2.7073,236.4919,0.0663,0.3482,33.0969,22.7029,14.748,842.2688,237.6779,1462.3055,304.0465,11.0317,878.8663,0,0,855.6438,254.8297,0,221.7502,1390.7183,40.8285,107.7959,21.0984,39.0045,4.1841,11.3362,0,1.8618,0.2905,0.0355,9.5763,0,0.2032,15.6694,238.9208,1.5233,4.8959,1.1269,59.8218,87.7255,0.3682,0.7279,0.4638,34.8725,0.8424,0,0,0.1166,141.5257,177.7647,48.4362,237.9455,0.1572,0,0,0,0,1.9578,0.4044,1.2556,0.62,2.3887,1.1808,13.3895,0.7878,0,0,0.1895,6.851,0.8297,0.3015,11.9688,0,0,6.5426,0.1525,0,5.333,213.0061,34.8427,16.6365,0.7062,32.6502,84.6544,319.5958,8.8546,0.172,3.0876,30.9429,0.2548,0,683.2441,7.2662,0.2043,0.3786,0,0.4169,0.4417,50.4954,39.8309,237.15,25.0033,29.0386,20.5474,23.3277,75.5028,316.0648,0,493.0295,253.653,38.0688,9.6563,9,0,175.6922,372.1369,594.3526,104.408,326.5639,72.1928,0.3502,0.206,0.0179,0,5.3672,62.8219,126.1877,0,921.9721,39.0444,4649.1057,5816.6421,1980.7261,0,742.7961,94.1794,1.3659,21.2424,0.3843,30.4544,412.8087,0.06,0,8.3468,49.8977,3102.4356,0.6924,766.5769,568.0378,141.4785,0,96.3393,0,0,0,0,0,0,0,0,0,0.1966
"Yemen",99.3234,14.8942,0,0.319,9,0.3148,0,0,0,0,0,0,0,0,0,1.0941,0,0,0,0.8938,9,0.0048,0,0.014,0.6091,0,0,0,1.114,56.0112,0,0,0.6114,12.3681,10.1098,77.4433,2.3905,27.3558,21.3381,0.005,78.5441,0,0,14.0278,2.4304,0,1.6785,55.3032,3.3505,7.1693,2.472,0.3469,0.0391,66.3954,0,1.2682,0.6235,0,0.2996,0,0,0.2696,2.4041,2.6866,0.8265,0.9632,3.874,1.4973,0.01,0.1623,0.5517,0.2247,0.0031,0,0,0.0005,1.1201,11.8436,0.1963,11.8873,0.0111,0,0,9,0,0,0,0,0.0248,0.035,0,0,0.0108,9,0,0,0.0911,0.0605,0,0.8665,0,0,0.1106,0,0,0,5.7889,0.0383,0,0,26.1554,26.5878,3.3829,0.4956,0,0,0,0.3195,0,0.3339,0,9,0,0.1493,0.0077,9,2.8614,0.1258,0.0485,0.0063,0.1429,0.1541,17.2512,2.181,43.8985,2.6579,25.3292,3.5129,1.7519,10.9473,9,175.6922,0,114.2235,4.2211,3.0821,224.8415,35.7677,0,0,0,0,0,0.025,502.3996,0,91.1213,0.1541,281.007,5.0624,146.13,0.0005,4.4791,1.6604,0.6107,1.6816,9,0.0026,604.385,0,9,2.49,67.7993,126.1858,9,0.0863,13.2794,62.2052,9,6.9827,9,0,0,0,0,0,0,0,0,9
"Kuwait",615.5412,153.9551,0,0.1217,0.0182,0.4571,0.1456,0.0338,0,9.0435,9,0.0015,0,0,0,43.5957,0,4.601,0.2549,0.1247,9.0191,0.4212,0.0041,1.3746,0.0192,0,0,1.0028,1.3751,35.0889,0.0056,0,3.7862,17.6162,0.3146,216.7064,56.9131,744.1224,38.0299,1.1326,39.1657,0,0,139.823,74.0881,0,13.2205,489.2549,10.6571,40.3409,27.6343,10.746,2.4235,393.711,0,2.645,0.011,0.3558,1.4873,0,9.0158,0.463,10.0028,6.2397,1.4739,0.0178,16.9803,4.2448,0.0486,0.1961,0.7929,2.8701,0.0133,0.0016,0.1038,0.0015,26.6438,46.5634,5.3347,43.6584,0.0154,0,0,0,0,0.0032,0.0122,0.7519,0.5929,0.1029,0.0106,8.7356,0.0151,0.0253,0.0076,0,0.386,0.0024,0.1007,0,0.0137,0,9.0007,0.0228,0,0.011,0.2,0.3381,0,0,2.7158,0,14.8468,9,0,0.0182,9.872,0.5783,0.0015,135.4202,9.0002,0,9,0.0378,0.1095,0,0.8691,0,5.6681,0.4218,4.0689,0.1311,0.5494,103.312,36.3927,0,40.8805,51.6279,38.1901,20.9325,0,372.1369,114.2235,0,37.2618,1.9407,127.2013,0.01,0.1278,0,0,9,9,0,69.1605,0.11,273.1889,0,1234.2735,2086.3578,1524.4439,0,818.1799,69.316,1.8257,2.2972,0.0039,25.6494,142.3397,0.2204,0.1916,43.8189,42.6421,1045.8145,0.0017,7.7929,570.9491,190.3374,0,8.1833,9,0,0,0.0088,0,0,0,0,0,0
"Bahrain",157.49,3.0139,0.0327,0.7177,0.0008,0.0115,0,0.0108,0.0023,9.0007,9,0,0.0013,9.0028,9,0,0,0.4308,0.025,0,0,0.0192,0,3.7739,0,0.0004,0,0.0451,0,53.0277,0.0417,0,1.397,36.4819,0.0237,146.884,14.9121,44.3802,15.6591,0.3474,494.8859,0,0,51.36,21.6612,0,0.4363,98.3405,0.224,12.3865,0.1626,0.6067,0.1797,58.8276,0,0.2054,0,0.0466,0,0,0.1117,0.6439,3.7318,1.2595,0.0703,9,2.377,0.0136,0.003,0.0312,0.0198,0,0,9,0.0013,0.282,5.1754,27.3884,0.2653,5.3606,0.0014,0,9,0,0,9,9,0.0719,0.0107,0.0149,0.0016,0.0091,0.0072,0.8607,0,0,0.4366,0.0668,0,0.0018,1.0468,0.2179,0,0.0003,0,0.0023,35.3047,13.1135,0,9,1.812,0.0046,0.0125,9,0.124,0,0.0022,0.2949,0,0.1088,0.0008,0,0,0.1633,0.3164,9,34.9773,0,0.9886,7.5917,0.1992,2.3749,1.8229,0,0.5766,0.0527,18.3092,6.4094,12.392,11.455,9,594.3526,4.2211,37.2618,0,27.0411,15.0979,9.9467,0.0864,0,9,0,9.2839,0,17.7168,0.0255,81.5687,0.252,118.32,50.3729,334.09,0.0189,56.9735,0.3795,0.3576,40.3582,0.0538,1.6619,18.4633,0.022,0.0007,0.7787,26.2294,135.7661,3.9575,2.9145,12.6611,16.5697,0.0063,1.1471,0,0.0133,0,0.0004,0,0,0,0,0,9
"Qatar",5.7451,12.7893,9,9,0,0.2759,0,0.0678,0,0,0,0,0,0,9,6.7582,0,9,9,9,0,0.0553,0.433,0.0168,0,0,9,0,0.036,36.1637,0,0,1.48,11.2725,2.8204,248.0626,12.1957,63.1637,15.5585,0.4139,11.2004,0,0,31.4549,41.5229,0,0.4631,147.9635,0.686,9.265,0.668,0.8583,0.0158,113.836,0,0.711,9,0,0,0,9,0.5206,2.9121,2.1377,0.057,9,4.7102,0.0044,0,9,0.0604,1.3,0,0,0,0.0101,4.3493,28.6975,3.2033,11.6358,0.0027,0,0,0,0,0,0,0.0211,9.0299,0,0,0.4213,9.0043,9.0001,0,0,0.0063,9,0,0.127,0,0,0,9,0,0,15.074,0.2994,9,9,0,9,9,9,9,0,11.4831,3.31,0,4.1199,0,0,9,9,0.0529,0,0.0546,0,0,0.0034,3.3279,0,0.1964,22.4176,2.6021,0,0.2615,17.0326,3.0321,6.9215,0,104.408,3.0821,1.9407,27.0411,0,48.2454,2.2849,0,9,9,0,0,0,40.8282,0,3.0371,0,812.5637,3181.9207,109.353,0,20.5549,4.9748,0,10.5811,0,24.304,281.1367,9,0,0,10.3606,599.3887,0.0407,26.7031,1.6622,44.9766,9,18.4463,0,0,0,0,0,0,0,0,0,0
"United Arab Emirates",2210.82,115.0565,0,2.919,0,0.0867,0.3464,0.0443,0.0354,0,9,0.0192,0,0,9.0263,0,0,10.703,0,0,0,0.1958,0,0.5834,0,0,0.0099,0.6449,1.0175,158.8686,0.0587,0,31.064,88.4332,0.4861,1433.6105,158.3748,820.6603,387.6529,6.5204,1925.9561,0,0,395.76,197.4175,0,7.9588,1871.8392,29.5167,149.4468,13.437,83.0542,7.1608,1649.0059,0,4.9968,0.1256,0.7003,5.526,0,0,12.7918,46.2657,37.2426,1.4596,0.1624,43.328,278.8628,2.019,2.9148,0.6841,49.4,1.8036,37.3222,16.1908,2.384,151.7655,254.3447,68.3544,152.9671,0.1658,0,0,0,0,2.2033,9,1.2376,0.2091,0.245,0.445,1.0682,3.8511,0.1352,9,9,0.2982,0.0625,0,0.9473,0.3392,0,0,9,0,11.2811,287.7926,43.4973,0.0738,4.298,25.4436,2.6564,6.811,0,0,3.5,9.3171,7.9862,0,14.7448,0,0,0,0,0.9136,3.5852,12.2698,3.9681,9.73,25.1637,0.1049,17.7449,3.6957,973.1801,402.272,0,19.8498,29.5645,3.702,58.9417,0,326.5639,224.8415,127.2013,15.0979,48.2454,0,524.3731,1.6693,116.33,1.557,8.39,0,8.62,2135.351,0.032,327.4928,0,862.5601,6111.789,50.8674,0,183.9724,98.9588,13.622,22.8501,40.8579,69.2416,247.8345,0.206,0,10.5476,675.7488,262.4027,0.2134,270.6563,621.8546,417.7113,0.0922,12.8331,9,0,0,0,0,0,0,0,0,9
"Oman",73.95,13.1579,9,0.2393,9,0.0485,0.0515,0.0238,0,0,0.0304,0,0,0.0131,0,2.8357,0,0.6907,0.0255,0.0008,0.1313,0.1189,0,0.0008,0.0234,0.2487,0,0,0.1901,7.2896,0.0219,0,12.7908,12.2907,0,198.1882,19.0472,147.3553,35.0703,0.0501,154.4481,0,0,43.6136,26.2245,0,0.8564,174.0404,0.3085,10.1572,1.1406,0.2488,0.5211,126.0935,0,1.8215,9,0,3.1808,0,0,1.3606,1.9,3.4728,1.9198,9,0.1068,13.982,0.1794,0.1349,1.003,5.172,0.0183,0.1431,0.0007,0.6175,10.1926,41.4151,3.0857,37.931,0.021,0,0,9,0,0.0043,9.3582,0.1579,0,0.2899,0.0016,0.0584,2.9417,0.0421,0.1247,0.2926,0.4314,0.1452,0.077,6.4184,0,1.8033,0,0.1637,1.1063,0.1542,40.1956,1.1171,0.2461,0.0512,7.6396,2.6293,0.5017,9.0074,1.615,0.5089,0.4363,1.661,0.0283,6.5928,0,9,0,0.0269,18.0394,0.0295,2.0514,0.2059,2.8927,0.2976,0.0238,6.9988,6.8299,80.4799,24.3229,31.0177,9.632,12.3384,0.4926,0.3799,0.1643,72.1928,35.7677,0.01,9.9467,2.2849,524.3731,0,0.5196,1.3565,0.0004,9,0.1869,2.6483,582.0297,9,370.6949,9.0269,845.7963,992.9148,108.9511,0,6.1638,0.333,0.0841,4.9537,0.052,0.0515,1028.8738,0.0338,0,1.4934,10.374,141.6998,0.0324,124.9601,22.9189,99.9943,0.1496,33.7082,0,0,0,9.0547,9.0118,0.0005,0,0,0,9
"Afghanistan",10.6,0.3018,0,0,0,2.4841,0,0.0216,0.0014,9,9,0,0.0004,0,9.087,0,0,9,0,0.1174,0,9.8079,0,0.1926,0,9,0,0.4235,0.0341,0.2728,9.0031,0,0.13,0.0002,0.1048,3.5732,0.3434,4.2815,6.3957,0.0069,5.611,0,0,0.9713,0.0683,0,0.1701,7.3283,2.1322,0.7616,0.159,0.2197,1.4733,0.8579,0,0.0089,9,0.0001,0,0,0,0.0834,0.5889,0.02,5.638,0.013,0.05,8.1976,0.254,0.3913,0.0756,1.38,0.0587,0,0,0.1961,5.8749,0.6919,0.2093,1.7732,0.0023,0,0,0,0,0,0,0.0309,9,0,0.0016,0,9,0.0003,0,0,0,0,0.013,0,0.0012,9,0,9,9,0,41.0051,0.0128,9,9,0.0057,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0513,9,0,0.4097,0.0005,0,0,0,0.0356,0,0.5406,9,0.44,0.6823,0,0.3502,0,0.1278,0.0864,0,1.6693,0.5196,0,42.69,2.3501,2.64,0,12.54,20.257,0,0.1975,0,33,71.9753,8.06,0,50.1741,0.3757,0,0.2666,0,0,8.0491,0,0,0,6.5203,12.8154,0,0.0324,8.5901,0.3165,0,0.2484,0,0,0,0,0,0,0,0,0,9
"Turkmenistan",58.1,0.672,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0.6,0.2872,0,0,0,0,0,6.8807,9.1,0,0,1.8721,0,21.088,0.6583,4.7726,4.5664,0.0185,50.9209,0,0,9.1,0.7996,0,0.2303,23.776,10.1034,0.1148,3.157,2.9075,0.0115,143.3974,0,0,0,0.0285,0.72,0,0,0.6202,0.8042,0.1238,1.924,0.3807,0.85,90.668,4.5,0.3107,1.0735,299,13.9285,6.6226,5.59,5.8864,3.6,0.0357,0,0.37,0.1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9.0067,0,0,0,0,0,0,0,0,0.0186,0.0039,0,0,0,9.2,0,0,0,0,9,10,0,9,0,9,0,96.8,193.0712,9.1,0.2,0,0.96,0,1.1,0.206,0,0,0,9,116.33,1.3565,42.69,0,12.1865,4.8,43.2,0.5,11.777,0.04,0.4,1.16,0.2,63.8013,9.075,0,1.2726,3.2424,0,0,9,0,0.6587,0,0,1.764,0.0858,3,0,0,0.2659,0.0279,0,0.3759,0,0,0,0,0,0,0,0,0,0
"Tajikistan",22.8264,3.7058,9.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5261,9.0015,0.007,0.0044,0,0,0,0,0,1.5202,9,0,0,299.7999,0,66.1142,0.3046,0.0567,9.7449,0.0697,6.2009,0,0,23.7895,1.1698,0,1.5029,4.3073,0.1848,1.5916,1.7553,5.9757,1.5526,11.8143,0,0.8201,0,0,0,0,9.264,9.9726,13.0245,0.0161,0.107,0.0572,1.5075,19.0093,3.2693,0.1938,3.0704,37.2869,1.9183,0.0005,0.3199,15.4183,0.0569,0.02,0.0002,0.0522,0,0,0,0,9.0301,0,0,9,0,0,0,0,9,0,0,0,10.0611,0,0,0,0,9.1965,0.0353,0.1159,0,0,0,0,0,0,0,0.3242,0,0,0,0,0.0009,0,0,9,0,0,0,0,0,0,0,0,0,11.7702,0.0005,0,0,3.119,2.6954,0,2.0369,0.0137,0.07,0.005,0.0522,0.0179,0,0,9,9,1.557,0.0004,2.3501,12.1865,0,3.2279,65.3542,76.5886,3.1596,0,0.0095,0.053,4.3866,0.5639,1.3677,0,1.2157,0.6598,0,0.3693,9,0,1.1019,0,9,2.0379,0.0651,0.0925,0,0.0463,0.1259,0.3441,0,0.0007,0,0,0,0,0,0,0,0,0,0
"Kyrgyzstan",53.6,25.3345,0.22,4.1,0,0,9,9.007,0,0,9,0,0,0,0,0,9,0,0,9,0,9,0,0.0128,0,0,0,9.2,0,1.2,0,0,0.4,0.0187,0,6.9822,0.1,5.2208,14.2449,0.1924,8.5696,0,0,15.8,0.536,0,0.0012,83.511,0.0509,0.8881,3.795,10.058,0.438,9.3694,0,0.4017,0,0.0078,0,0,9.11,1.9064,0.1,0,0.574,0.5966,2.58,14.482,0.53,0.7149,0.8546,1.2,6.0746,0.0431,0.24,1.3091,2.129,6.8347,0.8,3.3,0,0,0,0,0,0,0,0,9,9,9.1,0,9,9,0,0,0,0,0,0,0,9,0,0,0,9,0,0.0001,0,0,0,0,9,0,0.44,0,0.0091,0.1,9.2,0.7724,0,0,9,0,0,0,0,9,9,0,0,0,9,0.9,20.2205,0,0.114,0.1,0.1,0.0013,1.3,0,0,9,0,0,8.39,9,2.64,4.8,3.2279,0,0.55,41.5,4.9493,1.5,0.5,0.1,26.8,11.3678,3.125,9,0.103,0.3928,0,2,9,9,7.0966,9,0,0,0.4586,0.6,0,0,0.231,0.0067,0,0.0035,0,0,0,0,0,0,0,0,0,0
"Uzbekistan",358.55,5.7572,0,0,0,0,0,9,9.001,0,0,0,0,0,0,0,0,0,0,0,0,9.0035,0,0.0708,0,0,0,9,0.0803,15.5188,0,0,0,0,0.0062,16.0344,0.3415,12.1082,22.2211,0.1931,10.2988,0,0,6.96,6.566,0,15.8632,211.7822,7.8931,6.5807,1.4962,7.2886,2.4755,97.7895,0,0.0474,0,0.0121,0,0,0,1.9147,6.0226,0.5443,0.7229,3.0894,13.173,201.4607,16.228,3.3488,2.2631,1.94,2.417,0.0954,5.3835,0.3919,10.1078,26.0715,2.2451,6.3911,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0004,9,0,0,0,0,0,0,0,0,0,0,9.0039,0,0,0,0,61.5764,0,0.2489,0,0.08,0.0457,17.53,5.3672,0,9,9.2839,0,0,0.1869,0,43.2,65.3542,0.55,0,13.66,16.6344,0.13,26.4826,0,167.4,58.8614,1.5125,0,56.8927,16.7793,0,0,9,0,13.4113,0,0,8.5744,0.5595,0,0,0.8737,19.5268,13.0819,0,0,0,0,0,0,0,0,0,0,0,0
"Kazakhstan",118.8,11.5925,0.11,17.74,0,0,0,0.6704,9,0.2,0,0,0,9,9,0.1,9,0,0,0,2,45.1,16.4,1.3491,0.1,9,9,0.54,18.0989,35.8017,11.6,0,0.51,4.7645,0.005,150.244,7.5109,24.2286,7.9138,0.2772,111.4177,0,0,34.4,37.4333,0,5.1725,305.265,21.0608,136.7727,29.296,10.879,5.5707,410.1779,0,0,9,0.1372,3.22,0,0,1.525,86.4283,2.9963,11.904,3.6446,92.84,40.8532,33.3,1.2816,1.521,105.7,26.5086,0.2721,2.23,20.5999,5.8408,16.08,2.3704,3.318,0,0,0,0,0,0,9,0,0,0,0,1.8,0,0,0.1,0,0,9,0.2,3.96,0,9.66,0,0,0,0,0.44,0,9,0.11,0,0,0,0,9,0,0,0.0196,0,4.5612,0,0,0,0,9,0,0,0,4.54,0.0082,0.0197,0,0.11,124.1,183.711,9,9.2126,5.1,4.31,0.9498,14.9,62.8219,0.025,0,0,0,8.62,2.6483,12.54,0.5,76.5886,41.5,13.66,0,563.2663,0.08,6.1,0.83,2.8,34.9956,17.975,9,1.2978,1.1601,0,4.4,0,0,63.8265,0,0,4.835,4.7263,1.3726,0,0.0353,0.8146,3.9436,0,1.2378,0,0,0,0,0,9,0,0,0,0
"China",66367.094,4293.8428,27.5684,206.6492,20.728,90.2285,45.7575,37.4783,28.2332,0.5276,2.8614,6.6096,1.8039,0.775,0.4635,2042.6875,3.1866,180.2344,92.0754,35.4744,18.7757,23.9926,22.446,230.1655,314.4334,8.4324,9.8915,17.0807,168.451,170.4018,28.4226,200.7267,77.3454,290.3502,11.4265,7550.9486,447.0691,6047.0826,1456.1265,42.6952,1319.2095,0,0,1299.1257,2608.3674,0,245.4298,4881.34,1062.5304,154.7979,632.4072,545.282,167.3798,280.9478,0,42.5525,2.2,10.3786,83.8204,0,1.3269,131.7955,542.1602,124.5972,54.3095,1.1063,105.6976,3644.4292,55.2529,4.0975,52.8359,277.5774,8.8968,6.3598,4.5386,13.5061,1574.7227,900.9589,470.7463,693.1242,46.0277,0,0.066,3.8697,164.085,20.0427,52.8104,40.9162,47.594,24.4599,26.4165,65.9126,25.5945,7.1379,18.6108,8.7171,156.0756,15.5812,54.4215,444.6691,291.9074,0.9815,0.2752,15.7267,38.5758,11.533,120.5062,48.0255,4.4547,0.8801,0.4719,41.7865,58.434,0.724,323.5888,0.879,10.2344,17.3905,17.6922,157.2395,5.0278,7.9237,11.706,9.7257,23.5357,0.8035,181.3487,6.4534,261.1453,176.0484,71.8854,64.5694,197.7405,103.4993,868.8125,46.6265,864.2721,115.1597,268.687,88.1048,192.4093,126.1877,502.3996,69.1605,17.7168,40.8282,2135.351,582.0297,20.257,11.777,3.1596,4.9493,16.6344,563.2663,0,116.9198,24450.5555,309.0163,15982.5208,10027.746,1094.3158,1.0752,394.3895,890.6274,378.8577,569.2773,5.831,313.9203,2537.7497,205.8845,26.0998,624.1678,3711.6177,2943.7042,57.9651,237.687,3124.0416,362.4853,41.0213,11.8732,3.5122,11.8111,1.5113,39.4397,0.5157,0.66,0,0,0,0.2828
"Mongolia",36.32,2.15,0,0,0,9,0,0,0,0.0011,0,0,0,0,0,1.38,0,9,0,0,0,9,0.03,0.1761,0,0,9,9,0,0.1,9,9,0.08,0.0003,9,3.787,0.1,1.6149,0.329,0.0269,7.4225,0,0,1.13,0.0927,0,0.0005,17.653,4.4806,0.3556,1.382,4.443,0.1397,11.3789,0,0.0017,9,0,0,0,0,0,0.01,0.5671,3.23,0,0.02,105.0545,0.08,0.03,0.01,0.37,2.4,0,0.25,0.0512,5.657,0.8273,0.0271,3.037,0.0085,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,9.2891,0,0,0,9,0,9,0,0,0,0.0043,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,9,0,9,0,0,0.0313,0.0178,0,0,9,0.0196,0,0.0143,0,0.06,0.2196,0.06,0,0,0.11,0.0255,0,0.032,9,0,0.04,0,1.5,0.13,0.08,116.9198,0,4.13,0.233,31.44,102.0511,1.535,0,0.1933,0,9,0,0,0.41,0.4754,0,0,1.71,1.8482,8.4122,9.0012,0.0231,1.8909,0.4946,9,0.7073,0,0,0,0,0,0,0,0,0,0
"Taiwan",17518.602,2669.2693,0.6696,19.9691,15.3809,95.745,17.5099,21.7213,5.472,0.8807,0.9619,1.6352,0.558,0,0.2244,1621.3162,0,84.4584,67.3506,0,0,0,19.8294,76.2692,0,1.4608,2.9757,16.2514,57.5088,260.1277,13.8474,8.0133,357.34,120.1413,21.4278,3030.0226,739.1787,2434.921,124.5237,194.5584,454.1789,0,0,350.4,559.8458,0,88.3293,1212.5523,423.3246,151.4486,271.419,231.888,82.8494,426.5055,0,22.0364,0.1089,5.5014,37.37,0,0.0838,54.3296,191.2814,59.0201,21.214,1.6423,21.8,220.1076,14.74,7.9431,33.6456,209,6.4998,0,1.1134,1.0101,87.2637,93.0129,101.1113,163.784,6.5761,0,0.0165,0.0022,0.4248,1.6875,22.7633,3.8283,0.8572,0.3115,0.4645,0,9.1163,2.428,6.1266,1.177,3.6343,18.052,106.4335,13.9303,10.4884,6.1889,7.5268,533.3764,0.5881,3.6453,20.5741,2.9181,0.0712,0.3927,0.0011,5.6782,1.3589,0,277.6585,1.2,3.8462,4.553,1.1161,16.2721,0,0,0,0,1.7638,0,45.7414,1.6284,19.9026,32.812,48.9054,14.8633,7.4508,434.2,0,318.0207,140.9876,0,0,34.2942,125.6,921.9721,91.1213,273.1889,81.5687,3.0371,327.4928,370.6949,0.1975,0.4,0.0095,0.5,26.4826,6.1,24450.5555,4.13,0,12.3692,3374.4001,16263.522,89.175,0,0,359.1635,88.4167,334.5562,0.5451,1.9866,319.8204,139.85,1.8571,883.9871,369.2276,1142.2979,18.0415,1378.9308,973.3527,543.6206,4.3612,8.9184,13.8877,0.5143,0,15.4679,0.2962,0,0,0,0,3.2769
"North Korea",12.43,1.759,0.1121,0,0,0,3.0306,1.4666,0.2705,0.0241,9,0.4463,0,0,9.0489,0,0.2015,0,0,0,0,101.2125,0,3.7472,0,4.1669,2.4205,0.998,1.7017,105.7958,1.6877,0,1.124,2.1922,1.0372,21.8193,0.5373,12.4589,5.1771,0.1573,3.0826,0,0,4.08,4.0468,0,0.1275,12.1097,9.0239,19.6895,0.0772,0.9957,0.1613,14.5593,0,0.0219,0,0.079,0,0,0,3.1702,1.5168,0,1.7956,0.1167,0.382,46.1406,0.238,0.0102,0.2537,5.95,2.2185,0,1.3989,0.0875,0.0207,0.6613,0,4.2707,0,0,0,9,0,0,0,0.1165,2.1046,0.0005,0.0309,0.3147,0.2213,0.2052,9,9,7.4354,0.2114,0.0032,2.8238,0.9775,9.5354,0,0.016,0.2839,0,0.0483,0.1056,0.4321,0,9.4279,10.1944,3.1787,0,0,9,0.1701,0.0971,9,2.2833,0,0,0,0,0.1917,0,1.3833,9,9,5.2639,2.1531,0.0728,0,0,4.8991,0,0.3184,0,28.947,0.1759,9,39.0444,0.1541,0,0.252,0,0,9.0269,0,1.16,0.053,0.1,0,0.83,309.0163,0.233,12.3692,0,14.4,38.4094,25.665,0,0.3085,54.775,0.9919,0.0024,9,0,34.3719,1.306,9,4.2988,5.095,50.0686,0.2324,0.0011,1.9326,1.1718,1.2649,0.0619,0,0,0,0.2947,0.0054,0,0,0,0,0
"South Korea",6893.201,851.1785,579.48,0,19.8,173.131,13.5229,30.6713,9.9056,0.7637,1.0071,0.8852,0.2016,3.6,0.1934,2968.7833,2.476,346.32,119.88,39.6015,40.8,43.9581,38.5948,136.4301,238.8,0.24,2.64,24.36,123.2626,210.9579,24.7106,38.28,409.16,399.6987,48.9407,2614.992,147.5139,852.8865,265.5033,2.5777,126.9957,0,0,877.2,1346.3813,0,396.1586,522.0518,1123.4484,54.2773,292.843,112.4545,35.8553,606.7751,0,6.3687,0.3196,14.9089,78.29,0,1.32,94.403,679.4374,39.7173,41.031,2.9726,261.64,1273.5255,0.42,5.2745,20.4737,148.6,12.4538,1.3913,3.96,13.327,135.2941,186.6562,54.9159,98.243,16.5857,0,0,1.2,33.36,1.3244,20.16,12.894,5.3151,0.12,152.08,27.3572,38.7343,3.96,954.36,1.32,56.04,1.6276,55.313,52.8,83.76,0,0,281.4,1.32,5.28,51.6,17.3439,0.8576,1.32,0,30.36,29.16,37.2,312.84,2.9,0.7637,10.5279,3.96,771.1323,0,18,51.6,1.2,7.8819,0,33.4804,0.73,35.4,232.3208,87.2525,294.36,17.4,798,765.4712,140.64,90.7071,232.8,87.14,154.3759,89,4649.1057,281.007,1234.2735,118.32,812.5637,862.5601,845.7963,33,0.2,4.3866,26.8,167.4,2.8,15982.5208,31.44,3374.4001,14.4,0,8003.627,535.575,0,141.6707,277.3417,190.32,325.5742,0.8199,29.04,702.4214,75.06,10.68,1221.834,260.4014,1859.6604,266.9837,1564.1899,2656.347,1908.5269,130.68,254.3742,1.44,13.08,1.2,6.24,0.4821,6,0,0,0,3.96
