"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Monaco","Liechtenstein","Switzerland","Spain","Andorra","Portugal","Germany","Poland","Austria","Hungary","Czech Republic","Slovakia","Italy","San Marino","Malta","Albania","Macedonia","Croatia","Yugoslavia","Bosnia and Herzegovina","Slovenia","Greece","Cyprus","Bulgaria","Moldova","Romania","Russia","Estonia","Latvia","Lithuania","Ukraine","Belarus","Armenia","Georgia","Azerbaijan","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Eritrea","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Namibia","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","Turkmenistan","Tajikistan","Kyrgyzstan","Uzbekistan","Kazakhstan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Brunei","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Fiji","Marshall Islands","Federated States of Micronesia","Samoa"
"Germany",5226.032,584.0586,20.7051,22.4342,6.0314,15.5326,12.3982,45.5876,4.9069,0.4155,0.2019,1.3283,7.0271,2.6409,13.7633,2633.4161,0.0039,20.5326,89.2625,4.11,8.9587,122.6813,81.8471,124.8945,113.3263,9.7056,18.3016,40.1064,15.0251,28.3025,29.9251,24.6755,4.0083,74.0657,29.3321,8561.506,1713.8989,2461.936,4637.721,317.078,1201.219,0,0,5199.007,4380.2335,0,645.1343,0,99.0689,2695.502,62.5344,389.722,101.6596,1802.863,0,96.1158,40.0546,12.035,161.6091,0,23.0801,183.1003,1424.7816,83.9296,260.2626,6.6878,207.6065,1336.3574,2.9844,74.1435,139.6362,776.2032,170.3899,0.0551,1.172,16.7148,477.7741,6.7066,2367.6259,784.0582,26.161,0,1.016,3.5904,1.689,14.7068,17.6722,21.9698,6.7883,16.4385,19.6553,241.3298,20.2873,12.6412,253.4719,11.5455,78.6499,14.181,44.571,111.8976,13.6646,1.6772,10.8736,25.5925,0.0954,17.5794,4.2828,32.651,22.174,10.4399,4.9564,9.9947,30.9256,0,61.0345,47.6565,24.3798,14.6321,15.8353,1006.4712,0.6416,7.9941,19.3386,1.5566,14.67,1.0959,23.6349,6.6752,134.3427,944.3919,74.1082,748.3811,19.7154,3201.4648,506.2795,45.3676,623.4313,295.3724,324.7354,285.4385,1258.1038,664.2941,20.3183,552.4812,133.2512,141.7904,1243.8545,174.0907,4.0516,13.0796,3.347,2.41,149.7813,389.708,2269.7388,3.1926,976.4522,20.221,513.3748,10830.6231,366.217,0.9901,103.9327,149.0107,24.4701,132.9888,1.3206,184.1045,582.8809,26.6732,9.3111,218.6814,316.9787,158.8442,356.6461,160.1176,462.8127,1716.9843,138.9723,56.9878,4.0901,2.2675,4.2792,0,0,1.9188
"Poland",487.917,19.4326,0.052,2.9266,0.0578,0.8496,0.8002,0.3421,0.172,0.063,0.0241,0.0584,0.0555,0,0.0334,75.7565,0.2085,0.1302,1.497,0.025,0.422,16.3163,3.3067,14.92,4.0618,0.0295,1.3684,25.961,4.1548,151.0657,0.1351,0.1257,2.816,10.407,2.496,410.0538,8.4109,237.0653,156.7155,10.7145,140.0312,0,0,255.8135,114.731,0,6.3587,99.0689,0,206.4117,17.41,5.1337,23.7409,642.0445,0,1.2422,2.9606,6.808,11.558,0,1.6141,68.021,0.926,6.1115,13.435,0.585,13.137,742.538,4.407,9.3155,40.2616,5.3627,20.131,0.5877,0.234,1.3464,80.6777,103.0951,253.1471,2.4814,5.1801,0,0.23,0.048,0.187,15.8857,0.9638,1.3548,0.0424,0.1423,0.1115,35.8755,1.0581,0.236,115.5189,0.2103,9.3567,2.1401,0.4591,18.0701,5.1206,0.1377,0.004,0.318,0.5919,0.9939,1.794,0.7448,0.104,0.9394,0.0694,0.0414,1.119,0,0.0066,0.925,1.7547,18.9182,5.086,11.012,2.433,0.067,0.002,0.032,4.9785,0.2955,0.049,0.089,48.854,23.942,30.1064,58.9963,6.4036,234.915,25.884,0.2047,40.8179,25.5559,40.5407,6.8549,20.198,29.7176,0.0123,7.2661,0.2664,0.762,45.25,0.1521,0.3677,16.1119,2.297,2.252,20.8772,8.8837,1.009,0.647,77.244,13.9996,120.83,232.9227,195.6837,0.019,7.1576,13.1889,1.1685,12.0502,0,0.41,79.7705,0.7582,4.199,5.508,2.7414,33.4614,0.015,51.64,41.0852,9.3071,0.1187,0.7334,0.1035,0,0.017,0,0,0.104
"Austria",679.6701,224.5266,4.0095,0.8362,0.1229,2.3814,2.9633,2.2535,0.5752,0.2069,0.0061,0.2749,0.0166,0.2821,0.0316,66.5641,1.12,2.3418,11.319,8.3073,2.4114,35.1356,11.1674,18.7186,11.4755,7.0755,0.0951,18.5056,4.7173,76.6393,0.6724,0.2979,5.8953,13.6313,4.0486,127.2231,156.1394,320.5155,604.0888,41.3012,344.7603,0,0,492.7592,175.1755,0,81.9882,2695.502,206.4117,0,536.3411,288.6691,164.5064,1134.769,0,3.4299,3.1429,7.451,192.145,0,6.4042,262.8389,42.6029,14.6673,77.8945,1.8297,97.7296,549.7,0.5932,1.3531,1.5636,14.7038,36.6568,0.1459,0.9854,7.9953,106.2514,231.773,102.1309,39.5,8.1892,0,0.3118,0.2537,0.5309,1.2855,1.6089,3.9828,0.6114,1.0183,0.011,16.4903,2.1561,0.438,0.2479,0.2442,10.486,0.8161,1.1462,266.55,0.363,0.0857,0.3709,0.1368,1.5079,7.1038,3.4671,3.1835,0.9138,0.0548,0.3729,1.0367,0.9488,0,12.3351,0.6365,0.2292,7.6,1.2065,38.1914,7.4612,0.1924,0.8877,0.5225,6.2646,0,0.8497,0.2473,17.2806,32.6129,6.4522,31.609,4.1687,311.9809,86.4564,2.392,48.1754,3.8402,24.3317,34.1604,35.6475,4.5443,9.4879,27.068,4.6855,8.4448,65.8293,12.1683,0.7752,0.5524,9.7435,0.9977,2.703,27.6178,353.1437,1.8582,343.0467,6.4578,57.5118,1443.5055,104.5637,0.7088,16.3307,6.3638,5.1157,12.7697,0.0346,4.0673,24.5381,0.0147,0.3223,21.6078,40.6576,37.2859,2.5105,20.4718,214.0874,145.7324,0.7337,4.4042,0,0.4742,0.0212,0,0,0.0303
"Hungary",74,3.2687,0,2.54,0,0,0,0.0473,0.251,0,0.0177,0.0775,0.0153,0,0,1.5857,0,0.165,0,0.07,0,6.3749,0,7.874,0.5706,0,0,2.797,6.3731,106.5606,0.0638,0.1969,1.495,2.837,0.304,91.8176,17.6606,118.9102,64.0509,4.3791,58.8778,0,0,224.3483,26.023,0,1.4939,62.5344,17.41,536.3411,0,47.7773,154.6293,14.2008,0,2.2214,3.8319,1.131,24.149,0,0,77.295,12.898,4.0432,4.63,4,81.3,1475.9,0.1452,3.4184,0,0,15.862,0,0.056,0.3502,86.425,91.7626,3.8253,33.5047,0.7076,0,9,0,0,0,0,0.1102,0.0035,0,0.3637,7.1018,0,0.1051,0,0,0,0,0.1578,2.85,0,0.0048,0,0.0848,0,0,1.0039,0,0,0,0,9.1361,0.096,0,0,0,0.0436,0.1501,0,0,0,0,0,0,0.0338,0,0.2833,0,1.409,6.582,10.7426,3.32,0,43.7,72.5,0,24.0336,44.8271,25.75,13.9786,4.8,14.9963,8.2583,23.32,0,0,20,1.4293,0,0,3.0196,5.41,0,0,9.399,0.22,0,0.34,47.9,229.3307,7.9645,0,24.0219,5.8277,0,0.0186,0,0,0.123,0,9,4.309,5.5635,33.2079,0,2.359,2.0386,18.1154,0,0.9131,9,9,0,0,0,9
"Czech Republic",119.1553,108.0562,0,0.0873,0,9,0.1113,0,9.178,0,0,0,0,0,0,0,0,0,0,0,0,12.1645,0,6.236,0.5745,0.0336,0.0695,1.424,0,22.0739,9.9398,0,0,38.3863,9.814,6.7447,22.1042,158.8283,138.2855,9.4545,94.1306,0,0,164.8829,13.3372,0,8.5255,389.722,5.1337,288.6691,47.7773,0,38.3244,135.605,0,0,0,0,0,0,0,56.7292,40.0111,0,34.7905,0.347,26.2234,1018.0809,1.1951,0,3.0678,29.2511,0.126,1.0529,6.034,2.8195,47.5553,63.3471,6.5399,56.747,4.0913,0,0.1113,0,0,0,0,11.5342,0,0,0.6781,0.778,0.2226,0,0,9.1855,0.2226,0.0742,0,0.2584,0.0337,0,0,0,0,0.438,0,0.0742,9.6685,0.0371,0.0337,0.0371,1.892,0,0.7051,0,0,0,0,0,0,0,0,0,0,0,0,0,15.044,26.48,20.367,0.0371,0.4082,147.1,75.4869,0,130.2048,0,4.2407,11.8968,11.5245,49.3514,9,0.5195,0.0371,9,10.5138,0.1787,0.0776,0.4936,0.8566,0.1,3.7732,2.5822,197.6843,0.17,35.5135,0.9817,37.403,170.7315,5.3274,0,1.2662,0,0.0742,0,0,0.0035,0,0,0,0.8077,0,2.1846,0,0.118,0,11.3076,0.0371,0.2099,0,0.1685,0,0,0,0
"Slovakia",58.2003,10.9645,0.0434,1.9094,0.0262,0.2334,0.766,0.3404,0.0085,0.0857,0.0026,0.0078,0.0804,0.1233,0.0338,0.2558,0.0015,0.3133,5.8345,0.8304,1.6363,2.3913,0.4344,4.9167,0.3414,0.238,0.1359,2.687,3.6168,7.46,1.9734,0.2945,0.0874,9.967,0.3497,84.0363,6.9347,19.0344,23.2036,1.5864,23.5451,0,0,53.2142,6.4792,0,4.0761,101.6596,23.7409,164.5064,154.6293,38.3244,0,8.9156,0,4.2773,4.4225,0.2113,33.0794,0,1.4856,2.047,4.9403,1.3944,6.806,0.1744,15.3408,1192.476,0.6813,0.3869,5.5429,13.5477,0.5816,0.353,0.3252,2.4074,33.8344,14.7638,11.8483,18.6625,0.1709,0,0.0467,9.0086,0.0004,0.0546,0.1228,0.0662,0.4311,0.0327,0.1134,5.3005,0.0502,0.0107,0.0424,0.2146,0.6272,0,0.3867,6.4922,0.0452,0.0258,0,0.0546,0.0387,0.2321,0.0719,0.1309,0,0.0598,0.0104,0,0.3347,9,0.0266,0.0177,0.101,1.0237,0.001,3.9466,0.2767,9,0.0006,0.0503,1.6141,0.0423,0.0007,0.0009,2.6564,3.4998,2.667,0.9849,1.4389,1.0717,24.9704,0.0002,17.0662,47.1449,14.015,5.7323,1.0556,3.008,0.8785,0.2929,0.0912,0.2362,3.4532,0.3279,0.0712,15.3407,0.0232,2.0824,2.2557,4.4773,32.9645,1.4844,28.2861,3.5721,40.402,74.4428,4.2052,0.0291,0.8959,0.086,0.6597,0.0876,0,0.3344,74.1212,0.0121,0.0335,0.0577,4.904,6.3965,9.0066,2.0141,11.423,7.6954,0.0021,0.5541,9,0,0.0081,0,0,0.1156
"Italy",5955.5437,464.0348,595.7491,37.4929,2.6675,70.6181,3.786,6.7608,3.9796,1.132,0.3567,0.7127,9.5595,3.3796,1.855,782.7262,1.1747,19.7324,0.7609,17.0006,2.6658,29.6977,50.083,97.8068,498.7641,1.1505,17.0235,126.4426,95.6551,422.7383,14.4007,29.0816,44.0712,447.848,37.5389,490.5596,715.8482,4332.0805,1903.5371,130.1436,108.072,0,0,1645.1021,2491.9854,0,1628.8582,1802.863,642.0445,1134.769,14.2008,135.605,8.9156,0,0,171.8887,85.3597,72.8282,156.8537,0,15.3877,370.249,1595.4549,253.3516,73.2146,1.5097,153.7301,2779.4717,11.2992,23.1213,15.4661,223.1288,13.4268,29.8832,9.9157,3.5406,223.61,304.6057,63.2201,375.0647,32.1177,0,0.9892,1.4842,2.4451,11.844,3.6213,12.1132,4.906,54.7469,9.674,184.7204,10.5062,6.0988,20.4356,12.9585,19.6216,6.9931,190.9176,217.7161,2.7283,1.2201,1.4963,101.2898,24.8275,4.3352,40.1738,45.5693,8.1279,6.2975,20.7357,27.3811,43.9191,0,59.3848,72.4298,6.4943,40.5875,5.0054,1387.1014,28.1805,3.3489,1.2678,4.8224,6.285,1.6389,5.3733,3.3681,124.1836,989.1873,527.1936,2101.7416,13.547,553.2896,1763.611,0.5813,235.0062,87.7971,683.1378,184.1874,1074.7061,294.1925,35.8008,330.8372,71.6166,84.8059,1040.93,70.6891,4.4577,2.6063,33.7462,1.3279,67.6658,42.3155,141.1995,7.5501,271.234,32.9233,699.6918,26.1433,281.0869,0.126,103.556,169.1751,9.1363,4.8792,1.5522,1.9529,352.168,3.217,1.2691,6.0206,84.4835,631.3994,158.4691,15.1143,202.7701,318.5896,2.1041,102.8627,23.0876,0.3069,0.8756,0,0,0.1857
"San Marino",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",84.3928,7.1235,0.3027,0.0062,0.0001,0.0064,0.0328,0.0012,0.001,0.0066,0.0011,0.0083,0,0,0,0.383,0,0.0197,0,0.3876,0,1.0552,0.0009,0.7307,0.0008,0.009,0.0048,0.5001,0.0954,3.3592,0.0188,0.0115,0.7373,4.6909,0.5572,195.1378,18.4595,32.7677,5.1012,0.3488,58.9739,0,0,20.8064,21.3741,0,5.5461,96.1158,1.2422,3.4299,2.2214,0,4.2773,171.8887,0,0,0.0506,0,0.0648,0,0,2.2064,90.861,1.3819,0.1068,0,0.0157,37.4991,0.003,0.0065,0.1244,10.8766,0.0001,0,0,0,0.8904,3.7885,9.577,14.5676,0.0308,0,0,0,0,0.0189,0.0047,0.0226,0.0009,0,0.0068,0.5317,0.0014,0.0901,0,0.0026,0.1236,0.0065,0.0191,2.4041,0.2041,0.0013,0,0,0.0106,0,0.0035,0.0997,0.0557,0.6593,0,1.3406,0.2837,0,3.0743,0,0.0703,0.0012,0.0382,1.7539,0,0,0,0.2463,0.1357,0,0.0112,0.0001,0.2016,4.123,5.1247,25.5467,0.2651,0.4194,11.503,0,0.9491,0.0621,0.0266,0.1614,1.8544,1.0489,0.1438,2.237,3.3057,0.6191,6.1758,1.5227,0.0081,2.6609,0.9103,2.0097,0,0.0031,19.8741,0.0039,15.1623,0.0644,27.5994,50.5034,0.8967,0,1.0597,0.0239,0,2.0437,0.0017,0.0004,0.9222,0.0008,0.0003,0.0653,2.7209,4.607,0,1.8097,1.0841,1.7549,0,3.2244,0,0,0.001,0,0,0
"Albania",6.7078,0.0008,9,0,9,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0.0008,0,0,9,3.4923,0.0055,0,0.0235,3.3,0.0143,0.0833,0.3983,0,0.005,0.005,7.5322,2.641,0.0388,0.4303,1.0764,0.0736,3.9413,0,0,5.7439,0.7762,0,0.011,40.0546,2.9606,3.1429,3.8319,0,4.4225,85.3597,0,0.0506,0,10.965,0.0872,0,0.7201,2.6739,69.1628,0.0392,28.8042,0.1039,2.5955,3.4204,0.0006,0.0845,0.0075,0.4223,0,0,0.0029,0,0.1983,0.4971,0.0534,0.4202,0.002,0,0,0,0,9,9.002,0,9,0,0,0,0,9,9,9,0,9,0,0,9,0,0,0,0,0,0,0,9,9,9.001,0,0,0,0,0,0.5193,0,0,9,0,0,0,0,0,0,0,0,0.786,0.0681,0,0,0.0069,0.1626,12.4394,0,0.1216,9.1097,0,0.017,0.1244,0.344,0,0.5609,0,9,9.0059,9,9,0,0,0,0,9,2.5572,9,0.048,0,1.8871,3.2901,0.1391,0,0.0257,0.0057,0,0,9.0001,0,0.136,0,9,0.0059,0.1696,0.1048,9,0.009,1.583,0.0227,0,0.0202,0,0,0,0,0,9
"Macedonia",90.935,0.991,0,0,0,0,0.137,0,0,0,0,0,0,0,0,1.112,0,0,0,0,0,0.191,0,0.426,0,0,0,1.228,0,1.871,9,0,1.45,0.326,9,59.9908,1.149,11.5284,7.7595,0.5305,16.9154,0,0,14.6096,5.8091,0,0.2038,12.035,6.808,7.451,1.131,0,0.2113,72.8282,0,0,10.965,0,0.144,0,0,84.405,24.453,0.602,48.189,0,6.839,23.259,0.1337,0,0,0,2.403,0,0,0,0.5053,6.16,0.603,6.2357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.951,0,0,19.884,0.619,9.91,9.486,0,7.549,1.04,0.04,1.2517,0.8,0.192,0,0.272,0,0,0,0,0,0,0,0.21,0,0,2.548,0,0,0,12.28,4.2757,2.505,0,9,0,0,0,0,0,0,0,0,0,0.404,0,0,9,0,6.4939,0,0.493,0,0,0,0,0,0
"Croatia",11.122,5.351,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105,0,1.274,0,0,9,0,0,10.2038,0.0114,0,0,0,0.498,43.6533,5.5562,5.5241,18.4861,1.2639,61.4881,0,0,48.6049,0.7308,0,2.4397,161.6091,11.558,192.145,24.149,0,33.0794,156.8537,0,0.0648,0.0872,0.144,0,0,193.8337,117.06,8.876,0.7028,0,0,3.8,1,0,0.1042,0,0,0.056,0,0,0,8.7871,34.884,1.79,7.6506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156,0,0,0,0,0,0,0,0,0,0,5.773,0,0,0,0,0,11.864,0,9.4125,0,0,0.9005,4,10.619,0,0,0,0,9,0,0,0,0,0,0,0,0,0.11,0,0,2.4,40.5567,2.72,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,2.1383,0,0,0,0,0,0,0,0
"Yugoslavia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.694,0.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bosnia and Herzegovina",8.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6584,0,0,0,0,5.6713,1.0469,10.3624,0.131,0.009,4.1388,0,0,18.766,0.1008,0,0.0405,23.0801,1.6141,6.4042,0,0,1.4856,15.3877,0,0,0.7201,0,193.8337,0,0,9.157,13.8731,0,0,0.0088,7.17,28.15,0,0.0538,0,0,0.338,0,0,0,0.024,0.7192,0.218,2.8222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.291,0,5.4331,0,0,0.2975,6.74,0.1397,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0.7817,0,0,0.1011,0.0093,0,0.0412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1136,0,9,0,0,0,0,0,0
"Slovenia",54.754,12.162,0.009,4.15,0.14,0.266,0.021,0.187,0.002,0.028,0.523,0,0,0.075,0,1.354,0.065,0.121,0.115,0.001,0.081,0.307,0.355,1.03,0.5006,0.075,0.156,6.499,1.508,29.248,0.5321,0.139,0.273,12.843,1.665,0.9973,11.693,19.5409,8.9482,0.6118,3.7889,0,0,78.7857,33.9164,0,1.4298,183.1003,68.021,262.8389,77.295,56.7292,2.047,370.249,0,2.2064,2.6739,84.405,117.06,0,9.157,0,7.915,6.7598,22.712,0.023,5.805,29.796,0.0234,1.382,1.884,14.276,7.173,0.222,0.377,0.181,9.8667,4.9721,12.0749,1.8023,0.581,0,0,0.031,0.084,0.035,0.152,0.209,0,0.006,0.014,0.429,5.585,0.188,0.11,0.007,1.942,0.032,0.289,2.915,0.068,0.028,0.098,0.105,0.562,0.514,1.118,1.785,0.291,0.304,0.026,0.285,0.118,0,0.043,0.187,0.1,3.8915,0.123,1.997,0.012,0.004,0.187,0.033,0.161,0.018,0.066,9,0.054,40.478,2.278,15.726,0.48,27.23,7.266,0.059,17.213,2.855,2.262,3.5879,0.284,2.889,1.134,2.193,0.168,0.434,21.561,0.368,0.047,1.718,1.417,1.888,2.999,2.211,21.427,0,25.346,0.218,39.793,92.4825,4.545,0,0.1659,0.2203,0.089,1.929,0,0.009,5.148,0.005,0.006,0.501,1.281,1.789,0,0.316,10.476,10.8088,0,0.9535,0.009,0.02,0.004,0,0,0
"Greece",448.094,12.6522,10.2664,0.0462,0.033,0.2377,0.2539,0.0233,0.015,0.002,0.004,0.0063,11.2379,1.765,9.0891,12.0222,0.077,0.0968,4.867,0.049,0.19,4.4042,12.2606,10.848,3.2987,0.109,0.118,10.301,0.135,8.966,0.0207,0.0409,21.592,54.378,0.49,737.154,113.4033,1050.1909,452.3997,30.9303,927.6612,0,0,336.5202,303.5719,0,30.9896,1424.7816,0.926,42.6029,12.898,40.0111,4.9403,1595.4549,0,90.861,69.1628,24.453,8.876,0,13.8731,7.915,0,38.6529,134.3639,0.101,3.157,367.719,0.3055,0.0261,0.9837,2.0378,0.3,0.095,0.459,0.0458,89.3438,188.7075,39.1236,205.1517,11.1953,0,0,0,0.0165,0.033,0.3259,2.011,0.0071,8.7904,0.0729,11.9707,1.1559,4.7315,24.3516,1.27,3.6138,1.875,4.2296,12.9256,16.2095,0.2967,0.0058,2.2618,2.5964,1.2666,3.6127,0.4244,0.2712,1.6709,0.33,0.0027,7.811,0,2.2275,0.731,0.0681,11.8565,1.2448,13.464,5.312,0.027,0.307,0.331,0.9833,0.0094,0.6853,0.212,2.615,9.63,39.2547,277.9886,3.3599,722.8,16.244,25.4618,367.9757,27.9387,107.2022,16.1952,3.187,188.3072,22.7833,3.5972,2.9588,4.0375,37.1,2.4776,0.1328,0.4055,0.0431,0.012,1.1359,1.5595,260.211,0.006,132.034,0.5709,412.972,1403.9775,28.4959,0,3.4766,1.3792,0.1228,3.1898,0.3174,0.018,12.4748,0.009,0.027,2.359,50.382,90.2622,0.067,6.828,35.8461,24.4461,0.0022,23.9195,0.6358,0.3545,0.043,0,0,0
"Cyprus",218.3112,14.1312,0.0019,1.6849,0.063,0.0097,0.0253,0.096,0.03,0.0079,0.0244,0.0078,0.0053,0,0,0.2128,0.035,0.0638,0.002,0.0039,0.0819,0.4124,0.0596,0.4883,0.0041,0.002,0,0.002,0.036,7.1253,0.0963,0,0.824,15.317,0.0351,115.8438,8.9102,48.5104,14.7608,1.0092,123.1866,0,0,35.6278,42.8148,0,5.9141,83.9296,6.1115,14.6673,4.0432,0,1.3944,253.3516,0,1.3819,0.0392,0.602,0.7028,0,0,6.7598,38.6529,0,25.1428,0.0958,1.9599,50.572,0.2669,0.0219,0.7643,1.3622,0.09,3.0894,0.0249,2.7597,7.7318,25.2205,3.4612,26.8278,0.1725,0,0,0.0012,0,0.0647,0.1073,0.0103,0,0.0756,0.0058,2.557,0.0299,0.0022,0.0078,0.0206,0.2752,0,1.5256,5.8096,0.3784,0.0019,0,0.004,0.0479,0.2599,0.025,0.277,0.0019,0,0.018,0.4641,0.1315,0,0.0509,0.7652,0.1079,0.3939,0.1946,0.274,0,0,0.2341,0.1345,0.0784,0,0.0058,0.002,0.0417,8.9178,1.3311,18.3499,1.6603,1.4131,9.4297,0.0829,11.2781,37.1212,117.839,5.1655,11.1584,12.1117,3.0554,9.0295,2.7451,2.5723,16.0248,3.4116,0.0647,0.1648,0,0.11,0.0194,0,40.1671,0.0201,43.2022,2.4024,36.0059,203.6856,1.5979,0,5.6855,0.0498,0.7977,0.5033,0.0123,0.0084,13.3558,0.0036,0.0096,2.7468,18.0247,9.6626,0.0241,1.049,14.053,2.8001,0.0031,3.5944,0,0,0,0,0,9
"Bulgaria",45.07,14.175,0,27.5509,0,0,0,0,0.001,0,0,0.0259,0,0,0,7.1588,0.0015,0,0,0.0239,2.4135,0.024,4.609,5.761,3.476,2.3863,0,2.6043,0.5456,0.1892,0.0136,0.0451,0.9113,10.8418,1.3707,25.1052,1.9883,40.3002,13.5721,0.9279,6.1941,0,0,59.4924,28.5572,0,7.587,260.2626,13.435,77.8945,4.63,34.7905,6.806,73.2146,0,0.1068,28.8042,48.189,0,0,0,22.712,134.3639,25.1428,0,13.26,41.79,790.95,1.3614,3.3958,0,453.664,5.3077,0.9882,3.4412,0.8259,15.8415,20.7443,1.1022,15.2692,0.1603,0,0,0,0,0,0,1.4793,0.0633,0,0.0388,1.4972,0,0.041,0,0.1261,0.4379,0.0039,0.0035,14.1291,0.0135,0.0041,9,0.0283,0.3753,0,1.7395,0.8932,0,0,0,0,0.064,0,0,0,0.0167,0.1465,0,8.9393,9,9,0,9,0.194,9,0,0,0.7237,26.6812,4.0936,16.1615,6.6394,20.11,86.234,0,7.9423,85.2682,6.1083,27.4948,3.07,15.3785,6.3316,0,0,0,0,0.1697,0,0,0.4862,0.3,0,0,96.9718,0.19,7.8554,0,47.28,9.1441,38.1781,9,2.5991,6.7035,0,2.3006,0.7208,0,5.2053,0,0,3.6746,10.8468,12.24,0,23.4138,6.2904,5.7934,0.01,0.0169,0,0,0,0,0,9
